title,studio,lifetime_gross,year
Hotel Transylvania 3: Summer Vacation,Sony,167510016,2018
Casino Royale,Sony,167445960,2006
Meet the Parents,Universal,166244045,2000
Fifty Shades of Grey,Universal,166167230,2015
2012,Sony,166112167,2009
Robin Hood: Prince of Thieves,WB,165493908,1991
Kung Fu Panda 2,Paramount,165249063,2011
Catch Me If You Can,DreamWorks,164615351,2002
The Proposal,Disney,163958031,2009
The Pursuit of Happyness,Sony,163566459,2006
Big Daddy,Sony,163479795,1999
Clash of the Titans (2010),WB,163214888,2010
The SpongeBob Movie: Sponge Out of Water,Paramount,162994032,2015
Batman Returns,WB,162902340,1992
A Bug's Life,Disney,162798565,1998
Jason Bourne,Universal,162434410,2016
Grown Ups,Sony,162001186,2010
The Waterboy,Disney,161491646,1998
Ice Age: Continental Drift,Fox,161321843,2012
Straight Outta Compton,Universal,161197785,2015
Shark Tale,DreamWorks,160861908,2004
How to Train Your Dragon: The Hidden World,Universal,160799505,2019
The Heat,Fox,159582188,2013
Fantastic Beasts: The Crimes of Grindelwald,WB,159555901,2018
Halloween (2018),Universal,159342015,2018
Star Trek Beyond,Paramount,158848340,2016
The Firm,Paramount,158348367,1993
The Longest Yard,Paramount,158119460,2005
X-Men,Fox,157299717,2000
Who Framed Roger Rabbit,Disney,156452370,1988
What Lies Beneath,DreamWorks,155464351,2000
X-Men: Apocalypse,Fox,155442489,2016
The Mummy,Universal,155385488,1999
Snow White and the Huntsman,Universal,155332381,2012
San Andreas,WB,155190832,2015
Fast and Furious,Universal,155064265,2009
Over the Hedge,Paramount,155019340,2006
The Secret Life of Pets 2,Universal,154899025,2019
Fantastic Four (2005),Fox,154696080,2005
Dr. Seuss' Horton Hears a Who!,Fox,154529439,2008
Mad Max: Fury Road,WB,154058340,2015
Jerry Maguire,Sony,153952592,1996
Trolls,Fox,153707064,2016
Scooby-Doo,WB,153294164,2002
Cars 3,Disney,152901115,2017
Sex and the City,WB,152647258,2008
Runaway Bride,Paramount,152257509,1999
La La Land,Lionsgate,151101803,2016
Divergent,Lionsgate,150947895,2014
We're the Millers,WB,150394119,2013
Terminator 3: Rise of the Machines,WB,150371112,2003
Daddy's Home,Paramount,150357137,2015
G.I. Joe: The Rise of Cobra,Paramount,150201498,2009
Neighbors,Universal,150157400,2014
American Hustle,Sony,150117807,2013
Puss in Boots,Paramount,149260504,2011
Les Miserables (2012),Universal,148809770,2012
Knocked Up,Universal,148768917,2007
As Good as It Gets,Sony,148478011,1997
Little Fockers,Universal,148438600,2010
Megamind,Paramount,148415853,2010
Hotel Transylvania,Sony,148313048,2012
Talladega Nights: The Ballad of Ricky Bobby,Sony,148213377,2006
Gran Torino,WB,148095302,2008
Lethal Weapon 2,WB,147253986,1989
War for the Planet of the Apes,Fox,146880162,2017
X-Men: First Class,Fox,146408305,2011
Paul Blart: Mall Cop,Sony,146336178,2009
True Lies,Fox,146282411,1994
Lilo & Stitch,Disney,145794338,2002
The Meg,WB,145443742,2018
American Pie 2,Universal,145103595,2001
Taken,Fox,145000989,2009
The Great Gatsby (2013),WB,144840419,2013
The Santa Clause,Disney,144833357,1994
"I, Robot",Fox,144801023,2004
Lethal Weapon 3,WB,144731527,1992
The Fast and the Furious,Universal,144533925,2001
Mamma Mia!,Universal,144169664,2008
Doctor Dolittle,Fox,144156605,1998
Pokemon Detective Pikachu,WB,143918451,2019
Rio,Fox,143619809,2011
Kung Fu Panda 3,Fox,143528619,2016
Juno,Fox,143495265,2007
Marley and Me,Fox,143153751,2008
The Smurfs,Sony,142614158,2011
XXX,Sony,142109382,2002
The Chronicles of Narnia: Prince Caspian,Disney,141621490,2008
Pocahontas,Disney,141579773,1995
Slumdog Millionaire,Fox,141319928,2008
Deep Impact,Paramount,140464664,1998
Shazam!,WB,140371656,2019
Ocean's 8,WB,140218711,2018
Stuart Little,Sony,140035367,1999
Taken 2,Fox,139854287,2012
Sister Act,Disney,139605150,1992
The Matrix Revolutions,WB,139313948,2003
The Santa Clause 2,Disney,139236327,2002
Cheaper by the Dozen,Fox,138614544,2003
Bad Boys II,Sony,138608444,2003
21 Jump Street,Sony,138447667,2012
Split,Universal,138291365,2017
A Christmas Carol (2009),Disney,137855863,2009
Dinosaur,Disney,137748063,2000
Ready Player One,WB,137690172,2018
The Conjuring,WB,137400141,2013
Click,Sony,137355633,2006
The Green Mile,WB,136801374,1999
Ransom,Disney,136492681,1996
Godzilla,Sony,136314294,1998
101 Dalmatians (1996),Disney,136189294,1996
Argo,WB,136025503,2012
Anger Management,Sony,135645823,2003
Chicken Little,Disney,135386665,2005
Patch Adams,Universal,135026902,1998
Ride Along,Universal,134938200,2014
The Incredible Hulk,Universal,134806913,2008
Live Free or Die Hard,Fox,134529403,2007
Wanted,Universal,134508551,2008
Identity Thief,Universal,134506920,2013
The Rock,Disney,134069511,1996
Mission: Impossible III,Paramount,134029801,2006
Grown Ups 2,Sony,133668525,2013
Troy,WB,133378256,2004
Angels & Demons,Sony,133375846,2009
Alvin and the Chipmunks: Chipwrecked,Fox,133110742,2011
Bringing Down the House,Disney,132716677,2003
The Wolverine,Fox,132556852,2013
Wonder,Lionsgate,132422809,2017
The Departed,WB,132384315,2006
Hulk,Universal,132177234,2003
Minority Report,Fox,132072926,2002
Fantastic Four: Rise of the Silver Surfer,Fox,131921738,2007
The Last Airbender,Paramount,131772187,2010
Rio 2,Fox,131538435,2014
Lara Croft: Tomb Raider,Paramount,131168070,2001
"Honey, I Shrunk the Kids",Disney,130724172,1989
The Flintstones,Universal,130531208,1994
Lethal Weapon 4,WB,130444603,1998
Get Smart,WB,130319208,2008
The Divergent Series: Insurgent,Lionsgate,130179072,2015
The Peanuts Movie,Fox,130178411,2015
Transformers: The Last Knight,Paramount,130168683,2017
American Gangster,Universal,130164645,2007
American Beauty,DreamWorks,130096601,1999
The Ring,DreamWorks,129128133,2002
The Nutty Professor (1996),Universal,128814019,1996
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,128505958,2006
Ghostbusters (2016),Sony,128350574,2016
Kingsman: The Secret Service,Fox,128261724,2015
Robots,Fox,128200012,2005
Coming to America,Paramount,128152301,1988
Shutter Island,Paramount,128012934,2010
Into the Woods,Disney,128002372,2014
Enchanted,Disney,127807262,2007
The Curious Case of Benjamin Button,Paramount,127509326,2008
Central Intelligence,WB,127440871,2016
Anchorman 2: The Legend Continues,Paramount,127352707,2013
Sweet Home Alabama,Disney,127223418,2002
Bumblebee,Paramount,127195589,2018
2 Fast 2 Furious,Universal,127154901,2003
My Best Friend's Wedding,Sony,127120029,1997
Super 8,Paramount,127004179,2011
Lucy,Universal,126663600,2014
The Legend of Tarzan,WB,126643061,2016
Bee Movie,Paramount,126631277,2007
Prometheus,Fox,126477084,2012
Safe House,Universal,126373434,2012
Mr. Deeds,Sony,126293452,2002
The Truman Show,Paramount,125618201,1998
Erin Brockovich,Universal,125595205,2000
Ocean's Twelve,WB,125544280,2004
Terminator Salvation,WB,125322469,2009
Charlie's Angels,Sony,125305545,2000
Lone Survivor,Universal,125095601,2013
Sully,WB,125070033,2016
The Vow,Screen Gems,125014030,2012
Life of Pi,Fox,124987023,2012
The Fault in our Stars,Fox,124872350,2014
Cloudy with a Chance of Meatballs,Sony,124870275,2009
The Devil Wears Prada,Fox,124740460,2006
Something's Gotta Give,Sony,124728738,2003
Rango,Paramount,123477607,2011
The Nutty Professor II: The Klumps,Universal,123309890,2000
The Good Dinosaur,Disney,123087120,2015
G.I. Joe: Retaliation,Paramount,122523060,2013
Clear and Present Danger,Paramount,122187717,1994
The Hunt for Red October,Paramount,122012643,1990
The Bodyguard,WB,122006740,1992
Wayne's World,Paramount,121697323,1992
The Bourne Identity,Universal,121661683,2002
Superbad,Sony,121463226,2007
Speed,Fox,121248145,1994
50 First Dates,Sony,120908074,2004
Mamma Mia! Here We Go Again,Universal,120634935,2018
Mulan,Disney,120620254,1998
Seabiscuit,Universal,120277854,2003
Van Helsing,Universal,120177084,2004
Four Christmases,WB,120146040,2008
I Now Pronounce You Chuck and Larry,Universal,120059556,2007
Cloudy with a Chance of Meatballs 2,Sony,119793567,2013
Walk the Line,Fox,119519402,2005
G-Force,Disney,119436770,2009
Total Recall,Sony,119412921,1990
The Other Guys,Sony,119219978,2010
The Sum of All Fears,Paramount,118907036,2002
The Break-Up,Universal,118703275,2006
Lemony Snicket's A Series of Unfortunate Events,Paramount,118634549,2004
Blades of Glory,Paramount,118594548,2007
Back to the Future Part II,Universal,118450002,1989
Salt,Sony,118311368,2010
Now You See Me,Lionsgate,117723989,2013
Big Momma's House,Fox,117559438,2000
Die Hard 2: Die Harder,Fox,117540947,1990
Horrible Bosses,WB,117538559,2011
The Nun,WB,117450119,2018
Jackass 3-D,Paramount,117229692,2010
Ocean's Thirteen,WB,117154724,2007
S.W.A.T.,Sony,116934650,2003
The Wolf of Wall Street,Paramount,116900694,2013
8 Mile,Universal,116750901,2002
Double Jeopardy,Paramount,116741558,1999
Green Lantern,WB,116601172,2011
Notting Hill,Universal,116089678,1999
You've Got Mail,WB,115821495,1998
Ghost Rider,Sony,115802596,2007
Remember the Titans,Disney,115654751,2000
Unbroken,Universal,115637895,2014
Peter Rabbit,Sony,115253424,2018
Big,Fox,115227281,1988
Girls Trip,Universal,115171585,2017
Dumbo (2019),Disney,114750181,2019
Fifty Shades Darker,Universal,114581250,2017
DodgeBall: A True Underdog Story,Fox,114326736,2004
The Village,Disney,114197520,2004
